column_order,column_name,source_or_engineered,data_type,business_role,nullable,allowed_values_or_range,definition,cleaning_or_derivation,analysis_note
1,customerID,Source,string,Key,No,Unique 10-character customer identifier,Unique customer identifier,Trimmed; uniqueness validated; no duplicates,Primary key; one row per customer
2,gender,Source,categorical string,Profile,No,Female | Male,Customer gender,Trimmed; validated against observed categories,Profile attribute; not used as a targeting criterion
3,SeniorCitizen,Source,integer,Profile,No,0 | 1,1 = senior citizen; 0 = otherwise,Parsed and re-serialized as integer,Age-proxy field
4,Partner,Source,categorical string,Profile,No,Yes | No,Partner status,Trimmed; category validated,
5,Dependents,Source,categorical string,Profile,No,Yes | No,Dependent status,Trimmed; category validated,
6,tenure,Source,integer,Lifecycle,No,0-72 months,Months with the provider,Parsed as integer; range validated by tenure-band logic,Used to derive tenure_band and lifecycle flags
7,PhoneService,Source,categorical string,Service,No,Yes | No,Phone service subscription,Trimmed; category validated,
8,MultipleLines,Source,categorical string,Service,No,Yes | No | No phone service,Multiple-line status,Trimmed; category validated,
9,InternetService,Source,categorical string,Service,No,DSL | Fiber optic | No,Internet service type,Trimmed; category validated,Used in Fiber-related risk flags
10,OnlineSecurity,Source,categorical string,Service,No,Yes | No | No internet service,Online security subscription,Trimmed; category validated,
11,OnlineBackup,Source,categorical string,Service,No,Yes | No | No internet service,Online backup subscription,Trimmed; category validated,
12,DeviceProtection,Source,categorical string,Service,No,Yes | No | No internet service,Device protection subscription,Trimmed; category validated,
13,TechSupport,Source,categorical string,Service,No,Yes | No | No internet service,Technical support subscription,Trimmed; category validated,Used in Fiber-support and priority-segment flags
14,StreamingTV,Source,categorical string,Service,No,Yes | No | No internet service,Streaming TV subscription,Trimmed; category validated,
15,StreamingMovies,Source,categorical string,Service,No,Yes | No | No internet service,Streaming movies subscription,Trimmed; category validated,
16,Contract,Source,categorical string,Commercial,No,Month-to-month | One year | Two year,Customer contract type,Trimmed; category validated,Used in commercial-risk flags
17,PaperlessBilling,Source,categorical string,Billing,No,Yes | No,Paperless billing status,Trimmed; category validated,
18,PaymentMethod,Source,categorical string,Billing,No,Bank transfer (automatic) | Credit card (automatic) | Electronic check | Mailed check,Customer payment method,Trimmed; category validated,Used in the electronic-check and priority-segment flags
19,MonthlyCharges,Source,"decimal(10,2)",Revenue,No,18.25-118.75,Current monthly charge,Parsed as decimal and standardized to two decimal places,Gross MRR and churned-account MRR use this field
20,TotalCharges,Source retained for audit,decimal text / blank,Revenue,Yes,Blank or non-negative decimal; 11 blanks,Cumulative charges as supplied by the source,Whitespace trimmed; nonblank values standardized to two decimals; zero-tenure blanks retained as blank,Use TotalCharges_clean for numeric analysis
21,Churn,Source,categorical string,Target,No,Yes | No,Observed churn outcome,Trimmed; category validated,"Observed outcome, not a prediction"
22,TotalCharges_clean,Engineered,"decimal(10,2)",Revenue,No,0.00-8684.80,Numeric cumulative charges,Nonblank TotalCharges parsed as decimal; 11 blank values with tenure=0 set to 0.00,"No mean, median, or neighbor imputation"
23,is_churned,Engineered,integer,Target,No,0 | 1,Binary churn indicator,1 when Churn=Yes; otherwise 0,Used for rates and SQL-style aggregation
24,tenure_band,Engineered,ordered categorical string,Segmentation,No,0-6 | 7-12 | 13-24 | 25-36 | 37-48 | 49-60 | 61-72,Lifecycle band,Derived from tenure using inclusive upper bounds,Matches the seven published lifecycle bands
25,charge_band,Engineered,ordered categorical string,Segmentation,No,18-35 | 35-55 | 55-75 | 75-95 | 95+,Monthly charge band,<35; 35-<55; 55-<75; 75-<95; >=95,Matches the five published charge bands
26,flag_early_life_0_6,Engineered,integer,Risk flag,No,0 | 1,Customer is in months 0-6,1 when tenure<=6,Transparent diagnostic flag; not a predictive score
27,flag_month_to_month,Engineered,integer,Risk flag,No,0 | 1,Customer has a month-to-month contract,1 when Contract=Month-to-month,Transparent diagnostic flag
28,flag_electronic_check,Engineered,integer,Risk flag,No,0 | 1,Customer pays by electronic check,1 when PaymentMethod=Electronic check,Transparent diagnostic flag
29,flag_fiber_optic,Engineered,integer,Risk flag,No,0 | 1,Customer uses Fiber optic internet,1 when InternetService=Fiber optic,Transparent diagnostic flag
30,flag_no_tech_support,Engineered,integer,Risk flag,No,0 | 1,Customer has internet service but no Tech Support,1 when TechSupport=No,'No internet service' is not flagged
31,flag_fiber_no_tech_support,Engineered,integer,Risk flag,No,0 | 1,Fiber optic customer without Tech Support,1 when InternetService=Fiber optic and TechSupport=No,Reproduces the published Fiber-support comparison
32,flag_first_12m_mtm_fiber,Engineered,integer,Risk flag,No,0 | 1,First-12-month month-to-month Fiber customer,"1 when tenure<=12, Contract=Month-to-month, and InternetService=Fiber optic",Reproduces the published 70.20% segment rate
33,flag_priority_segment,Engineered,integer,Risk flag,No,0 | 1,Published priority rule-based segment,1 when Month-to-month + Electronic check + Fiber optic + TechSupport=No,"Reproduces 1,138 customers, 716 churns, and 62.92% churn"
